"corpus","preloaded/bnc2_tt31"
"subcorpus","-"
Item,Frequency
"like",147922
"unlike",4553
"alike",1425
"dislike",954
"businesslike",172
"childlike",126
"business-like",86
"lookalike",86
"warlike",80
"spine-like",63
"suchlike",56
"lifelike",53
"workmanlike",52
"ladylike",49
"block-like",41
"wing-like",40
"space-like",36
"god-like",35
"dream-like",35
"dreamlike",33
"bird-like",31
"child-like",28
"look-alike",26
"scale-like",24
"time-like",24
"vice-like",23
"hair-like",22
"cat-like",21
"hawk-like",21
"snake-like",21
"mask-like",21
"godlike",21
"unladylike",20
"needle-like",20
"tree-like",19
"trance-like",19
"mammal-like",18
"ape-like",18
"like-for-like",17
"flu-like",17
"rubber-like",16
"rod-like",15
"bell-like",15
"waif-like",15
"statesmanlike",15
"leaf-like",15
"jelly-like",15
"wave-like",13
"thread-like",13
"star-like",13
"claw-like",13
"prison-like",13
"animal-like",13
"box-like",13
"jewel-like",13
"lawlike",13
"gelada-like",13
"barn-like",13
"life-like",12
"bat-like",12
"rock-like",12
"fern-like",12
"stick-like",11
"such-like",11
"shell-like",11
"immunoglobulin-like",11
"ribbon-like",11
"hawklike",11
"catlike",11
"dance-like",11
"ghost-like",11
"lace-like",11
"whip-like",11
"machine-like",10
"fish-like",10
"crab-like",10
"phoenix-like",10
"unix-like",10
"war-like",10
"tern-like",10
"club-like",9
"cup-like",9
"bar-like",9
"sack-like",9
"birdlike",9
"snail-like",9
"mouse-like",9
"limpet-like",9
"gull-like",9
"lizard-like",9
"witch-like",9
"cell-like",9
"dog-like",9
"spring-like",9
"unbusinesslike",8
"amoeba-like",8
"earth-like",8
"wolf-like",8
"fortress-like",8
"buzzard-like",8
"owl-like",8
"mirror-like",8
"gnome-like",8
"grass-like",8
"doll-like",8
"ring-like",8
"coffin-like",8
"womb-like",8
"lemming-like",8
"mac-like",8
"chameleon-like",8
"man-like",7
"virus-like",7
"law-like",7
"tube-like",7
"vampire-like",7
"flower-like",7
"wraith-like",7
"finger-like",7
"skull-like",7
"plate-like",7
"goose-like",7
"flap-like",7
"sylph-like",7
"unalike",7
"death-like",7
"lady-like",7
"basilike",7
"beak-like",7
"glass-like",7
"shark-like",7
"drug-like",6
"feather-like",6
"moon-like",6
"eel-like",6
"human-like",6
"castle-like",6
"snakelike",6
"cliff-like",6
"crow-like",6
"toylike",6
"state-like",6
"sheep-like",6
"squirrel-like",6
"insect-like",6
"worm-like",6
"scissor-like",6
"manlike",6
"christ-like",6
"cathedral-like",6
"ant-like",6
"bear-like",6
"trancelike",6
"spreadsheet-like",6
"monkey-like",6
"ec-like",5
"beetle-like",5
"seamanlike",5
"bamilike",5
"home-like",5
"egf-like",5
"cramp-like",5
"dinosaur-like",5
"unsportsmanlike",5
"leg-like",5
"gazelle-like",5
"corpse-like",5
"sponge-like",5
"vulture-like",5
"granule-like",5
"macintosh-like",5
"janus-like",5
"clove-like",5
"mainframe-like",5
"flare-like",5
"pouch-like",5
"parkinson-like",5
"cow-like",5
"string-like",5
"bowl-like",5
"aids-like",5
"gibson-like",5
"toad-like",5
"knife-like",5
"arc-like",5
"lily-like",5
"motif-like",5
"moonlike",5
"canyon-like",4
"self-dislike",4
"lark-like",4
"blade-like",4
"rodlike",4
"corridor-like",4
"fishlike",4
"sac-like",4
"crablike",4
"mat-like",4
"chisel-like",4
"flowerlike",4
"parrot-like",4
"parchment-like",4
"elephant-like",4
"church-like",4
"maze-like",4
"zombie-like",4
"wt-like",4
"butterfly-like",4
"tank-like",4
"oib-like",4
"jet-like",4
"pc-like",4
"deathlike",4
"english-like",4
"tardis-like",4
"stork-like",4
"stilt-like",4
"spinelike",4
"tundra-like",4
"tramp-like",4
"spider-like",4
"doglike",4
"andf-like",4
"computer-like",4
"gypsy-like",4
"serpent-like",4
"madonna-like",4
"mafia-like",4
"heron-like",4
"gorilla-like",4
"comb-like",4
"craftsmanlike",4
"hook-like",4
"snipe-like",4
"grid-like",4
"fairy-like",4
"waiflike",4
"daisy-like",4
"village-like",4
"wavelike",4
"hangar-like",4
"car-like",4
"shield-like",4
"toy-like",4
"temple-like",4
"swanlike",4
"mantra-like",4
"apple-like",4
"sportsmanlike",4
"mind-like",4
"action-like",4
"soundalike",4
"windows-like",4
"adult-like",4
"slit-like",4
"pigeon-like",4
"lover-like",4
"bearlike",4
"sausage-like",4
"workman-like",4
"hut-like",4
"wart-like",4
"park-like",4
"sound-alike",4
"spear-like",4
"canute-like",4
"moth-like",4
"object-like",4
"commando-like",4
"slug-like",4
"arrow-like",3
"family-like",3
"fanfare-like",3
"fang-like",3
"brush-like",3
"fender-like",3
"ferret-like",3
"harrier-like",3
"fjord-like",3
"chimp-like",3
"earthlike",3
"buddha-like",3
"point-like",3
"pea-like",3
"net-like",3
"friedmann-like",3
"frog-like",3
"frond-like",3
"cycad-like",3
"wasp-like",3
"barrack-like",3
"gem-like",3
"bead-like",3
"ghostlike",3
"clown-like",3
"tooth-like",3
"desert-like",3
"thing-like",3
"gland-like",3
"tent-like",3
"language-like",3
"goat-like",3
"swallow-like",3
"granite-like",3
"sphinx-like",3
"limb-like",3
"lobe-like",3
"shrimp-like",3
"babylike",3
"shrew-like",3
"cone-like",3
"sheeplike",3
"hamster-like",3
"ltp-like",3
"duck-like",3
"rocklike",3
"bee-like",3
"rhino-like",3
"rasp-like",3
"pig-like",3
"cowboy-like",3
"hog-like",3
"root-like",3
"homelike",3
"plover-like",3
"bull-like",3
"squid-like",3
"pistol-like",3
"horse-like",3
"peat-like",3
"piglike",3
"silk-like",3
"policeman-like",3
"pagoda-like",3
"minuet-like",3
"sail-like",3
"museum-like",3
"crust-like",3
"yeast-like",3
"wormlike",3
"infantile-like",3
"factory-like",3
"chain-like",3
"womblike",3
"velvet-like",3
"adrenaline-like",3
"cartoon-like",3
"throne-like",3
"th2-like",3
"ladder-like",3
"laser-like",3
"statue-like",3
"statesman-like",3
"starling-like",3
"starlike",3
"reed-like",3
"spud-u-like",3
"springlike",3
"sphinxlike",3
"ox-like",3
"light-like",3
"spade-like",3
"terrier-like",3
"slot-like",3
"active-region-like",3
"sheet-like",3
"down-like",3
"dragon-like",3
"scythe-like",3
"drum-like",3
"magpie-like",3
"rope-like",3
"robot-like",3
"rib-like",3
"gipsy-like",3
"priest-like",3
"porridge-like",3
"plum-like",3
"pheasant-like",3
"medusa-like",3
"membrane-like",3
"elfin-like",3
"peg-like",3
"owner-like",3
"ostrich-like",3
"cave-like",3
"mucus-like",3
"nuthatch-like",3
"mousse-like",3
"morphine-like",3
"cement-like",3
"moorhen-like",3
"monk-like",3
"fan-like",2
"chamber-like",2
"father-like",2
"champagne-like",2
"ham-like",2
"felt-like",2
"film-like",2
"finch-like",2
"fin-like",2
"carp-like",2
"bleath-like",2
"flame-like",2
"flag-like",2
"flatworm-like",2
"flesh-like",2
"flipper-like",2
"flour-like",2
"fluid-like",2
"hoopoe-like",2
"fly-like",2
"christlike",2
"aspirin-like",2
"fox-like",2
"château-like",2
"boat-like",2
"witchlike",2
"asteroid-like",2
"fruit-like",2
"whimbrel-like",2
"curlew-like",2
"window-like",2
"clematis-like",2
"jaw-like",2
"garden-like",2
"wigeon-like",2
"v-like",2
"gastropod-like",2
"turnip-like",2
"tub-like",2
"ghetto-like",2
"clover-like",2
"kitchen-like",2
"boxlike",2
"kite-like",2
"angel-like",2
"topsy-like",2
"clublike",2
"coal-like",2
"lamb-like",2
"teflon-like",2
"cobweb-like",2
"glider-like",2
"glove-like",2
"goblin-like",2
"tentacle-like",2
"sucker-like",2
"coin-like",2
"svengali-like",2
"babel-like",2
"comblike",2
"comet-like",2
"grain-like",2
"bristle-like",2
"greenshank-like",2
"concertina-like",2
"gun-like",2
"habermas-like",2
"hag-like",2
"hall-like",2
"coral-like",2
"cord-like",2
"core-like",2
"bacteria-like",2
"sketch-like",2
"cork-like",2
"btv-like",2
"anthozoan-like",2
"head-like",2
"ballad-like",2
"cose-like",2
"ratchet-like",2
"hermit-like",2
"cotton-wool-like",2
"court-like",2
"razor-like",2
"reagan-like",2
"balloon-like",2
"market-like",2
"acid-like",2
"honeycomb-like",2
"hop-like",2
"crag-u-like",2
"poker-like",2
"meringue-like",2
"crater-like",2
"pit-like",2
"bundle-like",2
"humanlike",2
"creole-like",2
"opiate-like",2
"niagara-like",2
"hymn-like",2
"ibm-like",2
"environment-like",2
"nunlike",2
"crusoe-like",2
"wraithlike",2
"bush-like",2
"immuno-globulin-like",2
"imp-like",2
"apelike",2
"cult-like",2
"insulin-like",2
"whiplike",2
"is-like",2
"weed-like",2
"wax-like",2
"wedge-like",2
"island-like",2
"buttercup-like",2
"jade-like",2
"jackal-like",2
"wall-like",2
"wagtail-like",2
"c-like",2
"vole-like",2
"word-like",2
"wader-like",2
"vine-like",2
"vicelike",2
"unwarlike",2
"valve-like",2
"data-like",2
"unixalike",2
"unchildlike",2
"jodhpur-like",2
"jungle-like",2
"tunnel-like",2
"tunguska-like",2
"cable-like",2
"unbirdlike",2
"trumpet-like",2
"troll-like",2
"cadam-like",2
"king-like",2
"appeasement-like",2
"deerlike",2
"tortoiselike",2
"cadenza-like",2
"tongue-like",2
"title-like",2
"kringle-like",2
"venus-like",2
"treelike",2
"torch-like",2
"threadlike",2
"cage-like",2
"tenant-like",2
"taxis-like",2
"tektite-like",2
"tat-like",2
"lance-like",2
"tadpole-like",2
"sylphlike",2
"tar-like",2
"swamp-like",2
"svidrigailov-like",2
"sun-like",2
"lattice-like",2
"dioxin-like",2
"stylet-like",2
"strawlike",2
"strap-like",2
"callas-like",2
"summer-like",2
"stethoscope-like",2
"disc-like",2
"camel-like",2
"leechlike",2
"sql-like",2
"leopard-like",2
"dme-like",2
"spiral-like",2
"stag-like",2
"spire-like",2
"speech-like",2
"canal-like",2
"dolphin-like",2
"sparrow-like",2
"dome-like",2
"cancer-like",2
"whale-like",2
"smalltalk-like",2
"small-like",2
"cannabis-like",2
"lion-like",2
"soldier-like",2
"sleeve-like",2
"slab-like",2
"shrub-like",2
"shrine-like",2
"shelf-like",2
"look-a-like",2
"shed-like",2
"siren-like",2
"serow-like",2
"sentence-like",2
"lunar-like",2
"seedlike",2
"sea-like",2
"seif-like",2
"cap-like",2
"screw-like",2
"saucer-like",2
"saint-like",2
"school-like",2
"sale-like",2
"saintlike",2
"magnetosheath-like",2
"beckett-like",2
"dungeon-like",2
"mammalian-like",2
"dust-like",2
"ridge-like",2
"dustbin-like",2
"religious-like",2
"river-like",2
"rhodopsin-like",2
"reef-like",2
"map-like",2
"carrot-like",2
"rapier-like",2
"radar-like",2
"marquee-like",2
"quango-like",2
"pygmalion-like",2
"puck-like",2
"prune-like",2
"martyr-like",2
"skin-like",2
"prairie-like",2
"mast-like",2
"psychotic-like",2
"predella-like",2
"porpoise-like",2
"strobe-like",2
"arm-like",2
"plant-like",2
"caste-like",2
"pixie-like",2
"piston-like",2
"pipe-like",2
"petrol-like",2
"melon-like",2
"pew-like",2
"petal-like",2
"particle-like",2
"caterpillar-like",2
"employee-like",2
"parable-like",2
"panther-like",2
"paddle-like",2
"ole-like",2
"pelike",2
"paper-like",2
"octopus-like",2
"octamer-like",2
"minnow-like",2
"nun-like",2
"mint-like",2
"nest-like",2
"nazi-like",2
"model-like",2
"muscle-like",2
"berg-like",2
"mushroom-like",2
"mouselike",2
"et-1-like",2
"poltergeist-like",2
"moss-like",2
"cellar-like",2
"morb-like",2
"face-like",2
"fairytale-like",1
"ceramic-like",1
"centurion-like",1
"farouk-like",1
"chalk-like",1
"bigsby-like",1
"bicycle-like",1
"fashion-like",1
"fawnlike",1
"faun-like",1
"bikini-like",1
"feeler-like",1
"fellini-like",1
"chameleonlike",1
"arthritis-like",1
"ammonite-like",1
"feudal-like",1
"chase-like",1
"charcoal-like",1
"fighter-like",1
"fibroblast-like",1
"filigree-like",1
"cherry-like",1
"chelsea-like",1
"blackboard-like",1
"fingerlike",1
"chevron-like",1
"cherub-like",1
"fire-like",1
"finn-like",1
"chewong-like",1
"artisan-like",1
"arthropod-like",1
"addams-like",1
"fist-like",1
"chimney-like",1
"chimpanzee-like",1
"blob-like",1
"blister-like",1
"fleshlike",1
"flint-like",1
"chimplike",1
"flintsone-like",1
"flintstone-like",1
"chipmunk-like",1
"bloc-like",1
"flood-like",1
"chlorine-like",1
"asbestos-like",1
"arum-like",1
"chorale-like",1
"fluey-like",1
"chordate-like",1
"blocklike",1
"flute-like",1
"foamlike",1
"fog-like",1
"christie-like",1
"bmw-like",1
"ash-like",1
"format-like",1
"forest-like",1
"forster-like",1
"formula-like",1
"christmas-tree-like",1
"fossil-like",1
"chromatin-like",1
"fountain-like",1
"boardlike",1
"board-like",1
"amphitheatre-like",1
"amphetamine-like",1
"abyss-like",1
"fragment-like",1
"foxglove-like",1
"fresco-like",1
"frame-like",1
"cichlid-like",1
"fridge-like",1
"freud-like",1
"frieze-like",1
"cinema-like",1
"cinderella-like",1
"bog-like",1
"froglike",1
"clarinet-like",1
"circus-like",1
"fudge-like",1
"fuji-like",1
"class-like",1
"furnace-like",1
"fungus-like",1
"bone-like",1
"bond-like",1
"astaire-like",1
"g0-like",1
"fusion-like",1
"galley-like",1
"galleon-like",1
"clawlike",1
"gallio-like",1
"gallows-like",1
"click-like",1
"gang-like",1
"game-like",1
"boomerang-like",1
"bonnet-like",1
"gangster-like",1
"gannet-like",1
"clifford-like",1
"garcia-lookalike",1
"clint-like",1
"bosch-like",1
"gargoyle-like",1
"garlic-like",1
"clintlike",1
"gatting-like",1
"clinton-like",1
"boult-like",1
"asthmatic-like",1
"asthma-like",1
"anchor-like",1
"gel-like",1
"clock-like",1
"clockwork-like",1
"bowie-like",1
"gentlemanlike",1
"genscher-like",1
"get-like",1
"ggf-like",1
"cloister-like",1
"clockworklike",1
"at-alike",1
"ghandi-like",1
"clough-like",1
"giant-like",1
"gill-like",1
"ghostly-like",1
"athlete-like",1
"anemone-like",1
"gilt-like",1
"gilles-like",1
"ginseng-like",1
"gimlet-like",1
"clownlike",1
"giraffe-like",1
"glacier-like",1
"gis-like",1
"brachiopod-like",1
"boy-like",1
"glaive-like",1
"cobra-like",1
"glasslike",1
"bran-like",1
"gloomy-like",1
"cockroach-like",1
"glue-like",1
"cocoon-like",1
"branch-like",1
"aurum-like",1
"attention-like",1
"aeroplane-like",1
"acanthus-like",1
"96-like",1
"goblet-like",1
"goatlike",1
"cod-like",1
"goby-like",1
"coffinlike",1
"goddess-like",1
"brazen-hussy-like",1
"branchlike",1
"godfather-like",1
"goffman-like",1
"gogarth-like",1
"cold-like",1
"coke-like",1
"gondola-like",1
"coleridge-like",1
"gooseberry-like",1
"gorge-like",1
"colt-like",1
"breughel-like",1
"bread-like",1
"axe-like",1
"gorgon-like",1
"gossamer-like",1
"gotoh-like",1
"coma-like",1
"column-like",1
"gounod-like",1
"gouge-like",1
"goya-like",1
"gourd-like",1
"bricklike",1
"brick-like",1
"graben-like",1
"brickwork-like",1
"graphite-like",1
"gray-like",1
"grebe-like",1
"commodity-like",1
"committee-like",1
"baby-like",1
"baboon-like",1
"agar-like",1
"greenfinch-like",1
"greuze-like",1
"grenfell-like",1
"communal-like",1
"greyhound-like",1
"gripings-like",1
"grunge-like",1
"concorde-like",1
"broom-like",1
"bronowski-like",1
"gui-like",1
"grunt-like",1
"guide-like",1
"gul-like",1
"condom-like",1
"concrete-like",1
"gutter-like",1
"confetti-like",1
"brothel-like",1
"bros-like",1
"bach-like",1
"h-h-like",1
"conservatory-like",1
"hagfish-like",1
"conversation-like",1
"brothers-unlike",1
"haglike",1
"coot-like",1
"hakagawa-like",1
"cootlike",1
"brownie-like",1
"backdrop-like",1
"hamlike",1
"hamlet-like",1
"harold-like",1
"hare-like",1
"hand-like",1
"brussels-like",1
"anthem-like",1
"antennae-like",1
"achr-like",1
"harpy-like",1
"harp-like",1
"harrison-like",1
"cornucopia-like",1
"corn-bunting-like",1
"hawthorn-like",1
"corpselike",1
"bubble-like",1
"heathlike",1
"helicopter-like",1
"helicobacter-like",1
"heath-robinson-like",1
"heparin-like",1
"hen-pheasant-like",1
"counter-like",1
"bubo-like",1
"bag-like",1
"histone-like",1
"hinge-like",1
"hive-like",1
"hiv-like",1
"courtier-like",1
"hobby-like",1
"hobbit-like",1
"hobo-like",1
"buffer-like",1
"buffalo-like",1
"holocaust-like",1
"holly-like",1
"cowrielike",1
"hoodlike",1
"hood-like",1
"honecker-like",1
"bug-like",1
"balsam-like",1
"antirrhinum-like",1
"hoof-like",1
"crag-like",1
"bullet-like",1
"horn-like",1
"hormone-like",1
"hotel-like",1
"crane-like",1
"bullfinch-like",1
"bamboo-like",1
"house-like",1
"hound-like",1
"howard-like",1
"house-martin-like",1
"cream-like",1
"hulk-like",1
"hump-like",1
"crematorium-like",1
"bunter-like",1
"anvil-like",1
"husbandlike",1
"hyacinth-like",1
"hybridisation-like",1
"cricket-like",1
"crepe-like",1
"hyena-like",1
"crochet-like",1
"hypertext-like",1
"hypercard-like",1
"burkitt-like",1
"burgess-like",1
"icon-like",1
"crowther-like",1
"id-like",1
"iconic-like",1
"burn-like",1
"idlike",1
"idiom-like",1
"iguana-like",1
"idol-like",1
"cube-like",1
"bandit-like",1
